Date,Close,High,Low,Open,Volume,MA_5
09/11/2021,178.81149291992188,179.68850708007812,175.07150268554688,175.7624969482422,85898000,175.7624969482422
10/11/2021,174.1024932861328,180.2725067138672,173.1544952392578,178.19349670410156,80548000,178.81149291992188
11/11/2021,173.625,177.16200256347656,173.37350463867188,175.64999389648438,45288000,176.45699310302734
12/11/2021,176.25750732421875,177.0364990234375,172.3524932861328,174.25,53788000,175.51299540201822
15/11/2021,177.28399658203125,179.69400024414062,176.29049682617188,176.85000610351562,58594000,175.69912338256836
16/11/2021,177.03500366210938,178.8249969482422,176.25750732421875,176.9499969482422,44342000,176.01609802246094
17/11/2021,177.4499969482422,179.3625030517578,177.2675018310547,178.23599243164062,51206000,175.66080017089843
18/11/2021,184.80299377441406,185.2100067138672,178.0500030517578,178.3175048828125,114070000,176.3303009033203
19/11/2021,183.82850646972656,188.1074981689453,183.78599548339844,185.63450622558594,98734000,178.56589965820314
22/11/2021,178.6284942626953,185.67300415039062,178.375,183.81900024414062,96844000,180.0800994873047
23/11/2021,179.0019989013672,181.05250549316406,176.385498,179.2519989013672,73804000,180.3489990234375
24/11/2021,179.02049255371094,180.6820068359375,176.84249877929688,178.1334991455078,46560000,180.74239807128907
26/11/2021,175.22799682617188,181.6750030517578,175.20750427246094,180.10499572753906,59826000,181.0564971923828
29/11/2021,178.07850646972656,179.8000030517578,176.5749969482422,177.3820037841797,65312000,179.14149780273436
30/11/2021,175.35350036621094,179.2884979248047,174.60049438476562,178.1750030517578,80022000,177.9914978027344
01/12/2021,172.18600463867188,177.99400329589844,172.0800018310547,177.25,74916000,177.3364990234375
02/12/2021,171.8679962158203,174.63499450683594,171.1875,173,64726000,175.97330017089843
03/12/2021,169.489502,173.49349975585938,166.92999267578125,172.75,80712000,174.5428009033203
06/12/2021,171.36849975585938,173.69549560546875,166.9344940185547,169.64999389648438,68860000,173.39510192871094
07/12/2021,176.1645050048828,177.49949645996094,173.33450317382812,174.60000610351562,66410000,172.0531005859375
08/12/2021,176.1580047607422,177.17999267578125,174.75050354003906,176.15049743652344,45254000,172.21530151367188
09/12/2021,174.17100524902344,176.96949768066406,174.13949584960938,175.75,46062000,173.00970153808595
10/12/2021,172.21200561523438,175.927002,170.5,175.41700744628906,60690000,173.47030334472657
13/12/2021,169.5675048828125,172.10000610351562,169.1300048828125,172,62170000,174.01480407714843
14/12/2021,169.0915069580078,169.49899291992188,166.44000244140625,167.5500030517578,55976000,173.65460510253905
15/12/2021,173.31500244140625,173.60000610351562,165.19500732421875,168.59800720214844,75794000,172.24000549316406
16/12/2021,168.87100219726562,174.16600036621094,168.16050720214844,173.36849975585938,60876000,171.67140502929686
17/12/2021,170.0175018310547,170.89849853515625,165.61349487304688,167.7104949951172,85542000,170.6114044189453
20/12/2021,167.07899475097656,167.87449645996094,165.60000610351562,166.85000610351562,57372000,170.17250366210936
21/12/2021,170.41700744628906,170.7165069580078,165.6475067138672,167.85049438476562,55956000,169.6748016357422
22/12/2021,171.03700256347656,172.0500030517578,168.50050354003906,169.27000427246094,55036000,169.93990173339844
23/12/2021,171.06849670410156,171.97500610351562,170.14999389648438,170.42799377441406,36788000,169.4843017578125
27/12/2021,169.66949462890625,172.9429931640625,169.2154998779297,171.03700256347656,58688000,169.92380065917968
28/12/2021,170.66099548339844,172.17599487304688,169.135498,170.1824951171875,54638000,169.8541992
29/12/2021,169.2010040283203,171.21200561523438,168.60049438476562,170.83999633789062,35754000,170.5705993652344
30/12/2021,168.64450073242188,170.88800048828125,168.5240020751953,169.6999969482422,37584000,170.32739868164063
31/12/2021,166.7169952392578,169.35000610351562,166.55850219726562,168.95599365234375,47830000,169.8488983154297
03/01/2022,170.4044952392578,170.70350646972656,166.16050720214844,167.5500030517578,63520000,168.97859802246094
04/01/2022,167.52200317382812,171.39999389648438,166.34950256347656,170.43800354003906,70726000,169.12559814453124
05/01/2022,164.35699462890625,167.12649536132812,164.35699462890625,166.88299560546875,64302000,168.4977996826172
06/01/2022,163.25399780273438,164.8000030517578,161.93699645996094,163.45050048828125,51958000,167.52899780273438
07/01/2022,162.5540008544922,165.24349975585938,162.0310059,163.83900451660156,46606000,166.45089721679688
10/01/2022,161.48599243164062,161.6614990234375,156.30450439453125,160.5854949951172,87798000,165.61829833984376
11/01/2022,165.36199951171875,166.35000610351562,160.70150756835938,161.5,62806000,163.8345977783203
12/01/2022,165.20700073242188,166.8780059814453,164.41700744628906,166.5749969482422,50030000,163.40259704589843
13/01/2022,161.21400451660156,166.22149658203125,161.09100341796875,165.25050354003906,52188000,163.57259826660157
14/01/2022,162.13800048828125,162.25,159.80050659179688,160.14999389648438,45974000,163.1645996
19/01/2022,156.2989959716797,159.25,156.25,158.76199340820312,53242000,163.0813995361328
20/01/2022,151.66749572753906,158,151.3509979248047,156.76600646972656,71974000,162.04400024414062
21/01/2022,142.64300537109375,150.89999389648438,142.07049560546875,149.9499969482422,163972000,159.3050994873047
24/01/2022,144.54400634765625,144.94500732421875,135.3520050048828,139,155624000,154.79230041503905
25/01/2022,139.98599243164062,143.60000610351562,138.14500427246094,142.24249267578125,90824000,151.4583008
26/01/2022,138.87249755859375,145.18499755859375,137.31849670410156,144.75,95602000,147.02789916992188
27/01/2022,139.6374969482422,144.24349975585938,139.35000610351562,140.8000030517578,77516000,143.5425994873047
28/01/2022,143.97799682617188,143.9980010986328,137.92950439453125,140.86050415039062,74392000,141.1365997314453
31/01/2022,149.57350158691406,150.36050415039062,144.30050659179688,144.75,78308000,141.40359802246093
01/02/2022,151.19349670410156,151.70799255371094,147.62750244140625,150,59220000,142.4094970703125
02/02/2022,150.6125030517578,155.0749969482422,148.86349487304688,155.05050659179688,87330000,144.6509979248047
03/02/2022,138.8455047607422,144.24749755859375,138.33299255371094,141.7375030517578,225532000,146.9989990234375
04/02/2022,157.63949584960938,161.1999969482422,150.60800170898438,155.60650634765625,253456000,146.8406005859375
07/02/2022,157.9355010986328,162.6909942626953,157.25,158.52000427246094,102624000,149.5729004
08/02/2022,161.4134979248047,161.79249572753906,155.55050659179688,156.75050354003906,76040000,151.24530029296875
09/02/2022,161.1894989013672,163.83450317382812,160.25,162.87350463867188,68786000,153.28930053710937
10/02/2022,159.0034942626953,160.7165069580078,157.75,158.35000610351562,68268000,155.40469970703126
11/02/2022,153.2935028076172,159,152.73399353027344,158.13450622558594,77100000,159.43629760742186
14/02/2022,155.16700744628906,158.44850158691406,151.64999389648438,151.75100708007812,83230000,158.56709899902344
15/02/2022,156.510498,158.0070037841797,154.6374969482422,157.60549926757812,56440000,158.01340026855468
16/02/2022,158.10049438476562,158.83399963378906,154.7344970703125,155.79049682617188,52704000,157.03280029296874
17/02/2022,154.65249633789062,160.3489990234375,154.5,158.1459961,64032000,156.41499938964844
18/02/2022,152.60150146484375,155.49949645996094,150.89300537109375,155.49949645996094,63604000,155.5447998046875
22/02/2022,150.19749450683594,152.9824981689453,148.48550415039062,150.47850036621094,66128000,155.40639953613282
23/02/2022,144.82699584960938,151.76300048828125,144.6510009765625,151.65049743652344,64244000,154.4124969482422
24/02/2022,151.35800170898438,151.74899291992188,139.5,139.83749389648438,100786000,152.07579650878907
